,density(x),hardness(y),,Xi – Xbar,,yi(xi – xbar),,(Xi – Xbar)2,,,
1,24.7,484,,-21.0333333333333,,-10180.1333333333,,442.401111111111,,,
2,24.8,427,,-20.9333333333333,,-8938.53333333333,,438.204444444444,,,
3,27.3,413,,-18.4333333333333,,-7612.96666666667,,339.787777777778,,,
4,28.4,517,,-17.3333333333333,,-8961.33333333333,,300.444444444445,,,
5,28.4,549,,-17.3333333333333,,-9516,,300.444444444445,,,
6,29,648,,-16.7333333333333,,-10843.2,,280.004444444444,,,
7,30.3,587,,-15.4333333333333,,-9059.36666666667,,238.187777777778,,,
8,32.7,704,,-13.0333333333333,,-9175.46666666667,,169.867777777778,,,
9,35.6,979,,-10.1333333333333,,-9920.53333333333,,102.684444444444,,,
10,38.5,914,,-7.23333333333333,,-6611.26666666667,,52.3211111111111,,,
11,38.8,1070,,-6.93333333333334,,-7418.66666666667,,48.0711111111112,,,
12,39.3,1020,,-6.43333333333334,,-6562,,41.3877777777778,,,
13,39.4,1210,,-6.33333333333334,,-7663.33333333334,,40.1111111111111,,,
14,39.9,989,,-5.83333333333334,,-5769.16666666667,,34.0277777777778,,,
15,40.3,1160,,-5.43333333333334,,-6302.66666666667,,29.5211111111112,,,
16,40.6,1010,,-5.13333333333333,,-5184.66666666667,,26.3511111111111,,,
17,40.7,1100,,-5.03333333333333,,-5536.66666666666,,25.3344444444444,,,
18,40.7,1130,,-5.03333333333333,,-5687.66666666666,,25.3344444444444,,,
19,42.9,1270,,-2.83333333333334,,-3598.33333333334,,8.02777777777779,,,
20,45.8,1180,,0.0666666666666629,,78.6666666666622,,0.00444444444444394,,,
21,46.9,1400,,1.16666666666666,,1633.33333333333,,1.36111111111111,,,
22,48.2,1760,,2.46666666666667,,4341.33333333334,,6.08444444444445,,,
23,51.5,1710,,5.76666666666667,,9861,,33.2544444444444,,,
24,51.5,2010,,5.76666666666667,,11591,,33.2544444444444,,,
25,53.4,1880,,7.66666666666666,,14413.3333333333,,58.7777777777777,,,
26,56,1980,,10.2666666666667,,20328,,105.404444444444,,,
27,56.5,1820,,10.7666666666667,,19595.3333333333,,115.921111111111,,,
28,57.3,2020,,11.5666666666667,,23364.6666666667,,133.787777777778,,,
29,57.6,1980,,11.8666666666667,,23496,,140.817777777778,,,
30,59.2,2310,,13.4666666666667,,31108,,181.351111111111,,beta1 cap:,57.5066747641755
31,59.8,1940,,14.0666666666667,,27289.3333333333,,197.871111111111,,Sxy/Sxx,
32,66,3260,,20.2666666666667,,66069.3333333333,,410.737777777778,,,
33,67.4,2700,,21.6666666666667,,58500,,469.444444444445,,beta0 cap:,-1160.49970365941
34,68.8,2890,,23.0666666666667,,66662.6666666667,,532.071111111111,,Ybar – Beta1cap * xbar,
35,69.1,2740,,23.3666666666667,,64024.6666666666,,546.001111111111,,,
36,69.1,3140,,23.3666666666667,,73371.3333333333,,546.001111111111,,,
Total,1646.4,52901,,,SXY:,371186.033333333,SXX:,6454.66,,,
AVG,45.7333333333333,1469.47222222222,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Regression,,,,,,,,,,
,Regression Model,Linear,,,,,,,,,
,,,,,,,,,,,
,LINEST raw output,,,,,,,,,,
,57.5066747641756,-1160.49970365941,,,,,,,,,
,2.27853432103647,108.579605160724,,,,,,,,,
,0.949327800748713,183.059495015226,,,,,,,,,
,636.979363484729,34,,,,,,,,,
,21345674.4959044,1139366.4763178,,,,,,,,,
,,,,,,,,,,,
,Regression Statistics,,,,,,,,,,
,R^2,0.949327800748713,,,,,,,,,
,Standard Error,183.059495015226,,,,,,,,,
,Count of X variables,1,,,,,,,,,
,Observations,36,,,,,,,,,
,Adjusted R^2,0.947837441947204,,,,,,,,,
,,,,,,,,,,,
,Analysis of Variance (ANOVA),,,,,,,,,,
,,df,SS,MS,F,Significance F,,,,,
,Regression,1,21345674.4959044,21345674.4959044,636.979363484729,1.33273478074106E-23,,,,,
,Residual,34,1139366.4763178,33510.7787152294,,,,,,,
,Total,35,22485040.9722222,,,,,,,,
,,,,,,,,,,,
,Confidence level,0.95,,,,,,,,,
,,,,,,,,,,,
,,Coefficients,Standard Error,t-Statistic,P-value,Lower 95%,Upper 95%,,,,
,Intercept,-1160.49970365941,108.579605160724,-10.6880081387438,2.065918566074E-12,-1381.16001007117,-939.83939724764,,,,
,X1,57.5066747641756,2.27853432103647,25.2384501006843,1.33273478074106E-23,52.8761359009572,62.1372136273939,,,,
,,,,,,,,,,,
,X1,Predicted Y,Y,Residual,,,,,,,
,24.7,259.91516301573,484,224.08483698427,,,,,,,
,24.8,265.665830492147,427,161.334169507853,,,,,,,
,27.3,409.432517402586,413,3.5674825974138,,,,,,,
,28.4,472.689859643179,517,44.3101403568207,,,,,,,
,28.4,472.689859643179,549,76.3101403568207,,,,,,,
,29,507.193864501685,648,140.806135498315,,,,,,,
,30.3,581.952541695113,587,5.04745830488719,,,,,,,
,32.7,719.968561129134,704,-15.9685611291343,,,,,,,
,35.6,886.737917945243,979,92.2620820547568,,,,,,,
,38.5,1053.50727476135,914,-139.507274761352,,,,,,,
,38.8,1070.7592771906,1070,-0.759277190604735,,,,,,,
,39.3,1099.51261457269,1020,-79.5126145726927,,,,,,,
,39.4,1105.26328204911,1210,104.73671795089,,,,,,,
,39.9,1134.0166194312,989,-145.016619431198,,,,,,,
,40.3,1157.01928933687,1160,2.98071066313196,,,,,,,
,40.6,1174.27129176612,1010,-164.271291766121,,,,,,,
,40.7,1180.02195924254,1100,-80.0219592425387,,,,,,,
,40.7,1180.02195924254,1130,-50.0219592425387,,,,,,,
,42.9,1306.53664372373,1270,-36.5366437237249,,,,,,,
,45.8,1473.30600053983,1180,-293.306000539834,,,,,,,
,46.9,1536.56334278043,1400,-136.563342780427,,,,,,,
,48.2,1611.32201997386,1760,148.677980026145,,,,,,,
,51.5,1801.09404669563,1710,-91.0940466956345,,,,,,,
,51.5,1801.09404669563,2010,208.905953304366,,,,,,,
,53.4,1910.35672874757,1880,-30.356728747568,,,,,,,
,56,2059.87408313442,1980,-79.8740831344244,,,,,,,
,56.5,2088.62742051651,1820,-268.627420516512,,,,,,,
,57.3,2134.63276032785,2020,-114.632760327852,,,,,,,
,57.6,2151.88476275711,1980,-171.884762757105,,,,,,,
,59.2,2243.89544237979,2310,66.1045576202137,,,,,,,
,59.8,2278.39944723829,1940,-338.399447238291,,,,,,,
,66,2634.94083077618,3260,625.05916922382,,,,,,,
,67.4,2715.45017544603,2700,-15.4501754460262,,,,,,,
,68.8,2795.95952011587,2890,94.0404798841287,,,,,,,
,69.1,2813.21152254512,2740,-73.2115225451239,,,,,,,
,69.1,2813.21152254512,3140,326.788477454876,,,,,,,
